Season,Squad,W,D,L,GF,GA,Pts,Sh
2023/2024,Manchester City,28,7,3,96,34,91,647
2023/2024,Arsenal,28,5,5,91,29,89,511
2023/2024,Liverpool,24,10,4,86,41,82,539
2023/2024,Aston Villa,20,8,10,76,61,68,470
2023/2024,Tottenham,20,6,12,74,61,66,555
2023/2024,Chelsea,18,9,11,77,63,63,430
2023/2024,Newcastle Utd,18,6,14,85,62,60,537
2023/2024,Manchester Utd,18,6,14,57,58,60,452
2023/2024,West Ham,14,10,14,60,74,52,504
2023/2024,Crystal Palace,13,10,15,57,58,49,499
2023/2024,Brighton,12,12,14,55,62,48,781
2023/2024,Bournemouth,13,9,16,54,67,48,427
2023/2024,Fulham,13,8,17,55,61,47,683
2023/2024,Wolves,13,7,18,50,65,46,543
2023/2024,Everton,13,9,16,40,51,42,542
2023/2024,Brentford,10,9,19,56,65,39,450
2023/2024,Nott'ham Forest,9,9,20,49,67,32,360
2023/2024,Luton Town,6,8,24,52,85,26,582
2023/2024,Burnley,5,9,24,41,78,24,445
2023/2024,Sheffield Utd,3,7,28,35,104,16,425
2022/2023,Manchester City,28,5,5,94,33,89,589
2022/2023,Arsenal,26,6,6,88,43,84,427
2022/2023,Manchester Utd,23,6,9,58,43,75,358
2022/2023,Newcastle Utd,19,14,5,68,33,71,400
2022/2023,Liverpool,19,10,9,75,47,67,607
2022/2023,Brighton,18,8,12,72,53,62,481
2022/2023,Aston Villa,18,7,13,51,46,61,423
2022/2023,Tottenham,18,6,14,70,63,60,426
2022/2023,Brentford,15,14,9,58,46,59,420
2022/2023,Fulham,15,7,16,55,53,52,459
2022/2023,Crystal Palace,11,12,15,40,49,45,412
2022/2023,Chelsea,11,11,16,38,47,44,601
2022/2023,Wolves,11,8,19,31,58,41,590
2022/2023,West Ham,11,7,20,42,55,40,590
2022/2023,Bournemouth,11,6,21,37,71,39,565
2022/2023,Nott'ham Forest,9,11,18,38,68,38,362
2022/2023,Everton,8,12,18,34,57,36,413
2022/2023,Leicester City,9,7,22,51,68,34,512
2022/2023,Leeds United,7,10,21,48,78,31,466
2022/2023,Southampton,6,7,25,36,73,25,409
2021/2022,Manchester City,29,6,3,99,26,93,581
2021/2022,Liverpool,28,8,2,94,26,92,461
2021/2022,Chelsea,21,11,6,76,33,74,436
2021/2022,Tottenham,22,5,11,69,40,71,482
2021/2022,Arsenal,22,3,13,61,48,69,405
2021/2022,Manchester Utd,16,10,12,57,57,58,583
2021/2022,West Ham,16,8,14,60,51,56,404
2021/2022,Leicester City,14,10,14,62,59,52,430
2021/2022,Brighton,12,15,11,42,44,51,480
2021/2022,Wolves,15,6,17,38,43,51,433
2021/2022,Newcastle Utd,13,10,15,44,62,49,721
2021/2022,Crystal Palace,11,15,12,50,46,48,704
2021/2022,Brentford,13,7,18,48,56,46,503
2021/2022,Aston Villa,13,6,19,52,54,45,446
2021/2022,Southampton,9,13,16,43,67,40,370
2021/2022,Everton,11,6,21,43,66,39,478
2021/2022,Leeds United,9,11,18,42,79,38,486
2021/2022,Burnley,7,14,17,34,53,35,397
2021/2022,Watford,6,5,27,34,77,23,443
2021/2022,Norwich City,5,7,26,23,84,22,401
2020/2021,Manchester City,27,5,6,83,32,86,453
2020/2021,Manchester Utd,21,11,6,73,44,74,514
2020/2021,Liverpool,20,9,9,68,42,69,478
2020/2021,Chelsea,19,10,9,58,36,67,381
2020/2021,Leicester City,20,6,12,68,50,66,546
2020/2021,West Ham,19,8,11,62,47,65,345
2020/2021,Tottenham,18,8,12,68,45,62,395
2020/2021,Arsenal,18,7,13,55,39,61,436
2020/2021,Leeds United,18,5,15,62,54,59,518
2020/2021,Everton,17,8,13,47,48,59,473
2020/2021,Aston Villa,16,7,15,55,46,55,602
2020/2021,Newcastle Utd,12,9,17,46,62,45,590
2020/2021,Wolves,12,9,17,36,52,45,515
2020/2021,Crystal Palace,12,8,18,41,66,44,390
2020/2021,Southampton,12,7,19,47,68,43,319
2020/2021,Brighton,9,14,15,40,46,41,418
2020/2021,Burnley,10,9,19,33,55,39,438
2020/2021,Fulham,5,13,20,27,53,28,335
2020/2021,West Brom,5,11,22,35,76,26,464
2020/2021,Sheffield Utd,7,2,29,20,63,23,459
2019/2020,Liverpool,32,3,3,85,33,99,403
2019/2020,Manchester City,26,3,9,102,35,81,453
2019/2020,Manchester Utd,18,12,8,66,36,66,385
2019/2020,Chelsea,20,6,12,69,54,66,460
2019/2020,Leicester City,18,8,12,67,41,62,384
2019/2020,Tottenham,16,11,11,61,47,59,618
2019/2020,Wolves,15,14,9,51,40,59,373
2019/2020,Arsenal,14,14,10,56,48,56,468
2019/2020,Sheffield Utd,14,12,12,39,39,54,533
2019/2020,Burnley,15,9,14,43,50,54,586
2019/2020,Southampton,15,7,16,51,60,52,735
2019/2020,Everton,13,10,15,44,56,49,530
2019/2020,Newcastle Utd,11,11,16,38,58,44,398
2019/2020,Crystal Palace,11,10,17,31,50,43,407
2019/2020,Brighton,9,14,15,39,54,41,352
2019/2020,West Ham,10,9,19,49,62,39,494
2019/2020,Aston Villa,9,8,21,41,67,35,440
2019/2020,Bournemouth,9,7,22,40,65,34,416
2019/2020,Watford,8,10,20,36,64,34,413
2019/2020,Norwich City,5,6,27,26,75,21,457
2018/2019,Manchester City,32,2,4,95,23,98,462
2018/2019,Liverpool,30,7,1,89,22,97,437
2018/2019,Chelsea,21,9,8,63,39,72,364
2018/2019,Tottenham,23,2,13,67,39,71,358
2018/2019,Arsenal,21,7,10,73,51,70,413
2018/2019,Manchester Utd,19,9,10,65,54,66,602
2018/2019,Wolves,16,9,13,47,46,57,482
2018/2019,Everton,15,9,14,54,46,54,493
2018/2019,Leicester City,15,7,16,51,48,52,451
2018/2019,West Ham,15,7,16,52,55,52,400
2018/2019,Watford,14,8,16,52,59,50,508
2018/2019,Crystal Palace,14,7,17,51,53,49,568
2018/2019,Newcastle Utd,12,9,17,42,48,45,679
2018/2019,Bournemouth,13,6,19,56,70,45,514
2018/2019,Burnley,11,7,20,45,68,40,443
2018/2019,Southampton,9,12,17,45,65,39,479
2018/2019,Brighton,9,9,20,35,60,36,533
2018/2019,Cardiff City,10,4,24,34,69,34,436
